model,run_id,accuracy,precision,recall,f1_score,roc_auc,cv_roc_auc_mean,cv_roc_auc_std
LogisticRegression,e631ae11aafb4b2b9abf8cc28b7e612e,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9621212121212122,0.9021435086652477,0.016518184110221903
RandomForest,ffa3cbefb83f40d59eba46d764186900,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9453463203463204,0.8739859576816098,0.034760063998994964
GradientBoosting,2f2320bb18734e2296d4c5e16da6d863,0.8360655737704918,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.9058441558441558,0.8506852245982681,0.018998959252686014
